sl_store,sl_address,sl_city,sl_zip,sl_latitude,sl_longitude,sl_tags,sl_phone,Polizeipräsidium
Landeskriminalamt Baden-Württemberg,Taubenheimstraße 85,Stuttgart,70372,48.800494,9.233579,,0711 5401-0,LKA
Polizeipräsidium Aalen,Böhmerwaldstraße 20,Aalen,73431,48.830248,10.09198,Polizeipräsidium,07361 580-0,Aalen
Direktion Polizeireviere Aalen,Böhmerwaldstraße 20,Aalen,73431,48.8306236,10.0918036,Direktion,07361 580-0,Aalen
Polizeirevier Aalen,Stuttgarter Straße 5,Aalen,73430,48.83774,10.09566,Polizeirevier,07361 524-0,Aalen
Polizeirevier Backnang,Aspacher Straße 75,Backnang,71522,48.949263,9.421463,Polizeirevier,07191 909-0,Aalen
Polizeirevier Crailsheim,Parkstraße 7,Crailsheim,74564,49.135451,10.074459,Polizeirevier,07951 480-0,Aalen
Polizeirevier Ellwangen,Karlstraße 3,Ellwangen (Jagst),73479,48.964228,10.131518,Polizeirevier,07961 930-0,Aalen
Polizeirevier Fellbach,Cannstatter Straße 16,Fellbach,70734,48.807339,9.277376,Polizeirevier,0711 5772-0,Aalen
Polizeirevier Schorndorf,Grabenstraße 28/1,Schorndorf,73614,48.80715,9.52375,Polizeirevier,07181 204-0,Aalen
Polizeirevier Schwäbisch Gmünd,Lessingstraße 7,Schwäbisch Gmünd,73525,48.796051,9.791286,Polizeirevier,07171 358-0,Aalen
Polizeirevier Schwäbisch Hall,Salinenstraße 18,Schwäbisch Hall,74523,49.1181768,9.7341306,Polizeirevier,0791 400-0,Aalen
Polizeirevier Waiblingen,Alter Postplatz 20,Waiblingen,71332,48.82902,9.31758,Polizeirevier,07151 950-0,Aalen
Polizeirevier Winnenden,Eugenstraße 5,Winnenden,71364,48.87295,9.40646,Polizeirevier,07195 694-0,Aalen
Kriminalpolizeidirektion Waiblingen,Alter Postplatz 20,Waiblingen,71332,48.82902,9.31758,Direktion,07151 950-0,Aalen
Kriminaldauerdienst Waiblingen,Lessingstraße 7,Schwäbisch Gmünd,73525,48.796032,9.791238,,07171 358-0,Aalen
Kriminalkommissariat Aalen,Böhmerwaldstraße 20,Aalen,73431,48.830624,10.091804,,07361 580-0,Aalen
Kriminalkommissariat Schwäbisch Hall,Salinenstraße 18,Schwäbisch Hall,74523,49.1181768,9.7341306,,0791 400-0,Aalen
Verkehrspolizeiinspektion Kirchberg/Jagst,Ortsstraße 1,Kirchberg,74592,49.173102,9.959491,Direktion,07904 9426-0,Aalen
Verkehrsdienst-Außenstelle Aalen,Böhmerwaldstraße 20,Aalen,73431,48.830624,10.091804,,07361 580-0,Aalen
Verkehrsdienst-Außenstelle Backnang,Eugen-Adolff-Straße  122,Backnang,71522,48.946623,9.444998,,07191 8929-90,Aalen
Polizeipräsidium Einsatz,Heininger Straße 100,Göppingen,73037,48.6895433,9.6719037,Polizeipräsidium,07161 616-0,Einsatz
Polizeipräsidium Freiburg,Bissierstraße 1,Freiburg im Breisgau,79114,48.00235,7.82138,Polizeipräsidium,0761 882-0,Freiburg
Direktion Polizeireviere Freiburg,Bissierstraße 1,Freiburg im Breisgau,79114,48.00235,7.82138,Direktion,0761 882-0,Freiburg
Polizeirevier Bad Säckingen,Rathausplatz 3,Bad Säckingen,79713,47.5523597,7.949340597,Polizeirevier,07761 934-0,Freiburg
Polizeirevier Breisach,Müllheimerstraße 1,Breisach am Rhein,79206,48.0382143,7.5803855,Polizeirevier,07667 9117-0,Freiburg
Polizeirevier Emmendingen,Wiesenstraße 4,Emmendingen,79312,48.10852,7.85372,Polizeirevier,07641 582-0,Freiburg
Polizeirevier Freiburg -Nord-,Bertoldstraße 43a,Freiburg im Breisgau,79098,47.996218,7.8454321,Polizeirevier,0761 882-4221,Freiburg
Polizeirevier Freiburg -Süd-,Heinrich-von-Stephan-Straße 4,Freiburg im Breisgau,79100,47.98763,7.8364,Polizeirevier,0761 882-0,Freiburg
Polizeirevier Lörrach,Weinbrennerstraße 8,Lörrach,79539,47.61014,7.65873,Polizeirevier,07621 176-0,Freiburg
Polizeirevier Müllheim,Schwarzwaldstraße 14-16,Müllheim,79379,47.81185,7.62641,Polizeirevier,07631 1788-0,Freiburg
Polizeirevier Rheinfelden (Baden),Basler Straße 16,Rheinfelden (Baden),79618,47.55532,7.7831054,Polizeirevier,07623 7404-0,Freiburg
Polizeirevier Schopfheim,Hebelstraße 18,Schopfheim,79650,47.6478483,7.8244383,Polizeirevier,07622 66698-0,Freiburg
Polizeirevier Titisee-Neustadt,Bei der Kirche 2,Titisee-Neustadt,79822,47.91138,8.21507,Polizeirevier,07651 9336-0,Freiburg
Polizeirevier Waldkirch,Marktplatz 19,Waldkirch,79183,48.0930829,7.9619985,Polizeirevier,07681 4074-0,Freiburg
Polizeirevier Waldshut-Tiengen,Poststraße 4,Waldshut-Tiengen,79761,47.62217,8.21728,Polizeirevier,07751 8316-0,Freiburg
Polizeirevier Weil am Rhein,Basler Straße 7,Weil am Rhein,79576,47.59161,7.61,Polizeirevier,07621 9797-0,Freiburg
Kriminalpolizeidirektion Freiburg,Heinrich-von-Stephan-Straße 4,Freiburg im Breisgau,79100,47.98763,7.8364,Direktion,0761 882-0,Freiburg
Kriminaldauerdienst Freiburg,Heinrich-von-Stephan-Straße 4,Freiburg im Breisgau,79100,47.98763,7.8364,,0761 882-0,Freiburg
Kriminalkommissariat Emmendingen,Wiesenstraße 4,Emmendingen,79312,48.10852,7.85372,,07641 582-200,Freiburg
Kriminalkommissariat Lörrach,Weinbrennerstraße 6,Lörrach,79539,47.61055,7.65887,,07621 176-0,Freiburg
Kriminalkommissariat Waldshut-Tiengen,Ostpreußenstraße 22,Waldshut-Tiengen,79761,47.63306,8.27873,,07741 8316-0,Freiburg
Verkehrspolizeiinspektion Freiburg,Bissierstraße 1,Freiburg im Breisgau,79114,48.00235,7.82138,Direktion,0761 882-3100,Freiburg
Verkehrsdienst-Außenstelle Waldshut-Tiengen,Alfred-Nobel-Straße 18,Waldshut-Tiengen,79761,47.614838,8.24108,,07751 8963-0,Freiburg
Verkehrsdienst Weil am Rhein,Alte Straße 15,Weil am Rhein,79576,47.592136,7.603116,,07621 9800-0,Freiburg
Polizeipräsidium Heilbronn,Karlstraße 108-112,Heilbronn,74076,49.14155,9.23619,Polizeipräsidium,07131-104-0,Heilbronn
Schutzpolizeidirektion Heilbronn,Karlstraße 108-112,Heilbronn,74076,49.14155,9.23619,Direktion,07131-104-0,Heilbronn
Polizeirevier Bad Mergentheim,Schloß 6,Bad Mergentheim,97980,49.49275,9.77691,Polizeirevier,07931 5499-0,Heilbronn
Polizeirevier Buchen,Bödigheimer Straße 19,Buchen (Odenwald),74722,49.51619,9.323873,Polizeirevier,06281 904-0,Heilbronn
Polizeirevier Eppingen,Brettener Straße 57,Eppingen,75031,49.135654,8.90641,Polizeirevier,07262 6095-0,Heilbronn
Polizeirevier Heilbronn,John-F.-Kennedy-Straße 14,Heilbronn,74074,49.123493,9.22135,Polizeirevier,07131 7479-0,Heilbronn
Polizeirevier Heilbronn-Böckingen,Neckargartacher Straße 108,Heilbronn,74080,49.149374,9.196707,Polizeirevier,07131 20406-0,Heilbronn
Polizeirevier Künzelsau,Schillerstraße 11,Künzelsau,74653,49.27948,9.68212,Polizeirevier,07940 940-0,Heilbronn
Polizeirevier Lauffen,Stuttgarter Straße 19,Lauffen am Neckar,74348,49.07395,9.15531,Polizeirevier,07133 209-0,Heilbronn
Polizeirevier Mosbach,Hauptstraße 85,Mosbach,74821,49.356241,9.148287,Polizeirevier,06261 809-0,Heilbronn
Polizeirevier Neckarsulm,Binswanger Straße 1,Neckarsulm,74172,49.190376,9.224797,Polizeirevier,07132 9371-0,Heilbronn
Polizeirevier Öhringen,Karlsvorstadt 29,Öhringen,74613,49.2012387,9.5073549,Polizeirevier,07941 930-0,Heilbronn
Polizeirevier Tauberbischofsheim,Hauptstraße 91,Tauberbischofsheim,97941,49.62028,9.65909,Polizeirevier,09341 81-0,Heilbronn
Polizeirevier Weinsberg,Haller Straße 17,Weinsberg,74189,49.15194,9.29223,Polizeirevier,07134  992-0,Heilbronn
Polizeirevier Wertheim,Wilhelm-Blos-Straße 1,Wertheim,97877,49.75719,9.51547,Polizeirevier,09342 91 89-0,Heilbronn
Kriminalpolizeidirektion Heilbronn,Karlstraße 108-112,Heilbronn,74076,49.14155,9.236196,Direktion,07131 104-0,Heilbronn
Kriminaldauerdienst Heilbronn,Bahnhofstraße 35,Heilbronn,74072,49.1421,9.207838,,07131 104-4444,Heilbronn
Kriminalkommissariat Künzelsau,Schillerstraße 7 - 11,Künzelsau,74653,49.278929,9.683158,,07940 940-0,Heilbronn
Kriminalkommissariat Mosbach,Hauptstraße 81-83,Mosbach,74821,49.355683,9.147944,,06261 809-0,Heilbronn
Kriminalkommissariat Tauberbischofsheim,Hauptstraße 91,Tauberbischofsheim,97941,49.62028,9.65909,,09341 81-0,Heilbronn
Verkehrspolizeiinspektion Weinsberg,Im Eisenhut 1,Weinsberg,74189,49.13518,9.30219,Direktion,07134 513-0,Heilbronn
Verkehrsdienst Tauberbischofsheim,Am Eichelberg 1,Tauberbischofsheim,97941,49.60189,9.69085,,09341 6004-0,Heilbronn
Polizeipräsidium Karlsruhe,Durlacher Allee 31-33,Karlsruhe,76131,49.0075455,8.4258926,Polizeipräsidium,0721 666-0,Karlsruhe
Schutzpolizeidirektion Karlsruhe,Durlacher Allee 31-33,Karlsruhe,76131,49.007545,8.425893,Direktion,0721 666-0,Karlsruhe
Polizeirevier Bad Schönborn,Hauptstraße 11,Bad Schönborn,76669,49.2062279,8.6486305,Polizeirevier,07253 8026-0,Karlsruhe
Polizeirevier Bretten,Weißhofer Straße 47,Bretten,75015,49.0358073,8.7117024,Polizeirevier,07252 5046-0,Karlsruhe
Polizeirevier Bruchsal,Schönbornstraße 12-14,Bruchsal,76646,49.1278202,8.5994215,Polizeirevier,07251 726-0,Karlsruhe
Polizeirevier Calw,Schloßberg 3,Calw,75365,48.717534,8.7350119,Polizeirevier,07051 161-3511,Karlsruhe
Polizeirevier Ettlingen,Pforzheimer Straße 18,Ettlingen,76275,48.9421391,8.411131,Polizeirevier,07243 3200-0,Karlsruhe
Polizeirevier Karlsruhe-Durlach,Amthausstraße 11 - 13,Karlsruhe,76227,48.9983685,8.4715934,Polizeirevier,0721 4907-0,Karlsruhe
Polizeirevier Karlsruhe-Marktplatz,Karl-Friedrich-Straße 15,Karlsruhe,76133,49.007832,8.4040002,Polizeirevier,0721 666-3311,Karlsruhe
Polizeirevier Karlsruhe-Südweststadt,Beiertheimer Allee 16,Karlsruhe,76137,49.0020225,8.3977478,Polizeirevier,0721 666-3411,Karlsruhe
Polizeirevier Karlsruhe-Waldstadt,Stettiner Straße 41,Karlsruhe,76139,49.0323462,8.4318192,Polizeirevier,0721 96718-0,Karlsruhe
Polizeirevier Karlsruhe-West,Moltkestraße 68,Karlsruhe,76133,49.0151313,8.3757148,Polizeirevier,0721 666-3611,Karlsruhe
Polizeirevier Mühlacker,Hindenburgstraße 100,Mühlacker,75417,48.95231,8.84832,Polizeirevier,07041 9693-0,Pforzheim
Polizeirevier Nagold,Oberamteistraße 6,Nagold,72202,48.552021,8.722196,Polizeirevier,07452 9305-0,Pforzheim
Polizeirevier Neuenbürg,Bahnhofstraße 12,Neuenbürg,75305,48.84722,8.58889,Polizeirevier,07082 7912-311,Pforzheim
Polizeirevier Pforzheim-Nord,Bahnhofstraße 13,Pforzheim,75172,48.893107,8.700933,Polizeirevier,07231 186-3211,Pforzheim
Polizeirevier Pforzheim-Süd,Schwebelstraße 10,Pforzheim,75172,48.891099,8.684557,Polizeirevier,07231 186-3311,Pforzheim
Polizeirevier Philippsburg,Lessingstraße 10,Philippsburg,76661,49.2381635,8.4617278,Polizeirevier,07256 9329-0,Karlsruhe
Kriminalpolizeidirektion Karlsruhe,Hertzstraße 8/10a,Karlsruhe,76185,49.019888,8.365544,Direktion,0721 666-5001,Karlsruhe
Kriminaldauerdienst Karlsruhe,Moltkestraße 62,Karlsruhe,76133,49.0152978,8.3784167,,0721 666-5555,Karlsruhe
Kriminalkommissariat Bruchsal,Schloßstraße 23,Bruchsal,76646,49.127077,8.596677,,07251 726-202,Karlsruhe
Kriminalpolizeidirektion Calw,Hirsauer Wiesenweg 10,Calw,75365,48.721682,8.735944,,07051 161-4001,Pforzheim
Kriminalkommissariat Pforzheim,Ostendstraße 3,Pforzheim,75175,48.893225,8.715791,,07231 186-4901,Pforzheim
Verkehrspolizeiinspektion Karlsruhe,Durlacher Allee 31-33,Karlsruhe,76131,49.007545,8.425893,Direktion,0721 666-4105,Karlsruhe
Verkehrsdienst Karlsruhe - Verkehrsgruppe Bundesautobahn,Alte Karlsruher Straße 31,Karlsruhe,76227,49.0036,8.45782,,0721 94484-0,Karlsruhe
Verkehrsdienst Pforzheim - Verkehrsgruppe Bundesautobahn,Karlsruher Straße 54,Pforzheim,75179,48.90721,8.65044,,07231 12581-0,Pforzheim
Verkehrspolizeiinspektion Pforzheim,Kaiser-Friedrich-Straße 154,Pforzheim,75172,48.88823,8.67838,,07231 186-3101,Pforzheim
Polizeipräsidium Konstanz,Benediktinerplatz 3,Konstanz,78467,47.66898,9.1797,Polizeipräsidium,07531 995-0,Konstanz
Direktion Polizeireviere Konstanz,Benediktinerplatz 3,Konstanz,78467,47.668872,9.179856,Direktion,07531 995-0,Konstanz
Polizeirevier Bad Saulgau,Hauptstraße 119,Bad Saulgau,88348,48.01332,9.5034,Polizeirevier,07581 482-0,Ravensburg
Polizeirevier Friedrichshafen,Ehlersstraße 35,Friedrichshafen,88046,47.659393,9.486471,Polizeirevier,07541 701-0,Konstanz
Polizeirevier Konstanz,Benediktinerplatz 3,Konstanz,78467,47.66898,9.1797,Polizeirevier,07531 995-0,Konstanz
Polizeirevier Leutkirch,Karlstraße 8,Leutkirch im Allgäu,88299,47.826385,10.019782,Polizeirevier,07561 8488-0,Ravensburg
Polizeirevier Radolfzell am Bodensee,Güttinger Straße 1,Radolfzell am Bodensee,78315,47.7396273,8.9740013,Polizeirevier,07732 95066-0,Konstanz
Polizeirevier Ravensburg,Seestraße 11,Ravensburg,88214,47.778238,9.61208,Polizeirevier,0751 803-3333,Ravensburg
Polizeirevier Sigmaringen,Karlstraße 15,Sigmaringen,72488,48.08527,9.22126,Polizeirevier,07571 104-0,Ravensburg
Polizeirevier Singen,Julius-Bührer-Straße 6,Singen (Hohentwiel),78224,47.7589161,8.8428238,Polizeirevier,07731 888-0,Konstanz
Polizeirevier Stockach,Winterspürer Straße 27,Stockach,78333,47.85142,9.02147,Polizeirevier,07771 9391-0,Konstanz
Polizeirevier Überlingen,Mühlenstraße 16,Überlingen,88662,47.76441,9.16577,Polizeirevier,07551 804-0,Ravensburg
Polizeirevier Wangen im Allgäu,Lindauer Straße 38,Wangen im Allgäu,88239,47.684606,9.828214,Polizeirevier,07522 984-0,Ravensburg
Polizeirevier Weingarten,Promenade 13/1,Weingarten,88250,47.811509,9.637479,Polizeirevier,0751 803-6666 ,Ravensburg
Kriminalpolizeidirektion Friedrichshafen,Ehlersstraße 15,Friedrichshafen,88046,47.65881,9.48303,Direktion,07541 701-0,Ravensburg
Kriminaldauerdienst Ravensburg,Rudolfstraße 3,Ravensburg,88214,47.777968,9.613016,,0751 803-4444,Ravensburg
Kriminaldauerdienst Singen,Julius-Bührer-Straße 6,Singen (Hohentwiel),78224,47.758916,8.842824,,07731 888-0,Konstanz
Kriminalkommissariat Konstanz,Benediktinerplatz 3,Konstanz,78467,47.668872,9.179856,,07531 995-0,Konstanz
Kriminalkommissariat Ravensburg,Seestraße 13,Ravensburg,88214,47.778055,9.612182,,0751 803-0,Ravensburg
Kriminalkommissariat Sigmaringen,Karlstraße 15,Sigmaringen,72488,48.08527,9.22126,,07571 104-0,Ravensburg
Verkehrspolizeiinspektion Ravensburg,Brielmayerstraße 2,Weingarten,88250,47.800108,9.626084,Direktion,0751 803-5420,Ravensburg
Verkehrsdienstaußenstelle Kißlegg,Friedrich-List-Straße 14,Kißlegg,88353,47.76914,9.89162,,07563 9099-0,Ravensburg
Verkehrsdienst Mühlhausen-Ehingen,Im Rohmen  68,Mühlhausen-Ehingen,78259,47.80559,8.82201,,07733 9960-0,Konstanz
Polizeipräsidium Ludwigsburg,Friedrich-Ebert-Straße 30,Ludwigsburg,71638,48.8933215,9.199877,Polizeipräsidium,07141 18-9,Ludwigsburg
Direktion Polizeireviere Ludwigsburg,Friedrich-Ebert-Straße 30,Ludwigsburg,71638,48.893195,9.199888,Direktion,07141 18-9,Ludwigsburg
Polizeirevier Bietigheim-Bissingen,Stuttgarter Straße 57,Bietigheim-Bissingen,74321,48.9528362,9.1371278,Polizeirevier,07142 405-0,Ludwigsburg
Polizeirevier Böblingen,Talstraße 50,Böblingen,71034,48.68454,9.00173,Polizeirevier,07031 13-2500,Ludwigsburg
Polizeirevier Ditzingen,An der Lache 1-5,Ditzingen,71254,48.8271283,9.0740374,Polizeirevier,07156 4352-0,Ludwigsburg
Polizeirevier Herrenberg,Alzentalstraße 1,Herrenberg,71083,48.5940102,8.8660863,Polizeirevier,07032 2708-0,Ludwigsburg
Polizeirevier Kornwestheim,Stuttgarter Straße 101,Kornwestheim,70806,48.85746,9.18566,Polizeirevier,07154  1313-0,Ludwigsburg
Polizeirevier Leonberg,Gerhart-Hauptmann-Straße 8,Leonberg,71229,48.7983112,9.0107918,Polizeirevier,07152 605-0,Ludwigsburg
Polizeirevier Ludwigsburg,Stuttgarter Straße 26-28,Ludwigsburg,71638,48.8928428,9.1942979,Polizeirevier,07141 18-5353,Ludwigsburg
Polizeirevier Marbach am Neckar,Steinerstraße 2,Marbach am Neckar,71672,48.9392523,9.2573308,Polizeirevier,07144 900-0,Ludwigsburg
Polizeirevier Sindelfingen,Gartenstraße 4,Sindelfingen,71063,48.7069732,9.0039904,Polizeirevier,07031 697-0,Ludwigsburg
Polizeirevier Vaihingen an der Enz,Heilbronner Straße 17,Vaihingen an der Enz,71665,48.9337714,8.9583672,Polizeirevier,07042 941-0,Ludwigsburg
Kriminalpolizeidirektion Böblingen,Talstraße 50,Böblingen,71034,48.68454,9.00173,Direktion,07031 13-00,Ludwigsburg
Kriminalkommissariat Ludwigsburg,Friedrich-Ebert-Straße 30,Ludwigsburg,71638,48.893195,9.199888,,07141 18-9,Ludwigsburg
Verkehrspolizeiinspektion Ludwigsburg,Pfaffenwaldring 1,Stuttgart,70569,48.74808,9.10881,Direktion,0711 6869-230,Ludwigsburg
