sl_store,sl_address,sl_city,sl_zip,sl_latitude,sl_longitude,sl_tags,sl_phone,Polizeipräsidium
Polizeipräsidium Mannheim,L6 1,Mannheim,68161,49.48323,8.46712,Polizeipräsidium,0621 174-0,Mannheim
Polizeirevier Eberbach,Kellereistraße 33,Eberbach,69412,49.46272,8.98406,Polizeirevier,06271 9210-0,Mannheim
Polizeirevier Heidelberg-Mitte,Rohrbacher Straße 11,Heidelberg,69115,49.4065157,8.6930257,Polizeirevier,06221 1857-0,Mannheim
Polizeirevier Heidelberg-Nord,Furtwänglerstraße 11,Heidelberg,69121,49.42126,8.68019,Polizeirevier,06221 4569-0,Mannheim
Polizeirevier Heidelberg-Süd,Bürgerstraße 47,Heidelberg,69124,49.3789878,8.6764057,Polizeirevier,06221 3418-0,Mannheim
Polizeirevier Hockenheim,Werderstraße 8-10,Hockenheim,68766,49.3181265,8.5407761,Polizeirevier,06205 2860-0,Mannheim
Polizeirevier Ladenburg,Bahnhofstraße 20-22,Ladenburg,68526,49.471731,8.603919,Polizeirevier,06203 9305-0,Mannheim
Polizeirevier Mannheim-Innenstadt,H4 1,Mannheim,68159,49.4910013,8.4656997,Polizeirevier,0621 1258-0,Mannheim
Polizeirevier Mannheim-Käfertal,Ladenburger Straße 3,Mannheim,68309,49.5124314,8.5182761,Polizeirevier,0621 71849-0,Mannheim
Polizeirevier Mannheim-Neckarau,Reingoldplatz 4,Mannheim,68199,49.45437,8.48306,Polizeirevier,0621 83397-0,Mannheim
Polizeirevier Mannheim-Neckarstadt,Waldhofstraße 32-34,Mannheim,68169,49.4995783,8.4718308,Polizeirevier,0621 3301-0,Mannheim
Polizeirevier Mannheim-Oststadt,L6 1,Mannheim,68161,49.48323,8.46712,Polizeirevier,0621 174-3310,Mannheim
Polizeirevier Mannheim-Sandhofen,Sonnenstraße 37c/d,Mannheim,68307,49.5461914,8.4481622,Polizeirevier,0621 77769-0,Mannheim
Polizeirevier Neckargemünd,Bahnhofstraße 39,Neckargemünd,69151,49.39309,8.78452,Polizeirevier,06223 9254-0,Mannheim
Polizeirevier Schwetzingen,Carl-Theodor-Straße 8,Schwetzingen,68723,49.3845385,8.5756366,Polizeirevier,06202 288-0,Mannheim
Polizeirevier Sinsheim,Wilhelmstraße 7,Sinsheim,74889,49.25386,8.87891,Polizeirevier,07261 690-0,Mannheim
Polizeirevier Weinheim,Am Hauptbahnhof 4,Weinheim,69469,49.55348,8.66625,Polizeirevier,06201 1003-0,Mannheim
Polizeirevier Wiesloch,Schloßstraße 11-13,Wiesloch,69168,49.29544,8.6969613,Polizeirevier,06222 5709-0,Mannheim
Kriminalpolizeidirektion Heidelberg,Römerstraße 168,Heidelberg,69126,49.385242,8.685618,Direktion,0621 174-0,Mannheim
Kriminaldauerdienst Heidelberg,Römerstraße 168,Heidelberg,69126,49.385242,8.685618,,0621 174-0,Mannheim
Kriminalkommissariat Mannheim,L6 1,Mannheim,68161,49.48323,8.46712,,0621 174-0,Mannheim
Verkehrspolizeiinspektion Mannheim,L6 1,Mannheim,68161,49.48323,8.46712,,0621 174-0,Mannheim
Verkehrsdienst Mannheim - Verkehrsgruppe Bundesautobahn,Am Dünenrand 52,Mannheim,68239,49.451818,8.568731,,0621 47093-0,Mannheim
Verkehrsdienst Heidelberg - Verkehrsgruppe Heidelberg,Römerstraße 168,Heidelberg,69126,49.385242,8.6856177,,0621 174-0,Mannheim
Verkehrsdienst Heidelberg - Außenstelle Walldorf,Josef-Reiert-Straße 1a,Walldorf,69190,49.30286,8.62852,,06227 35826-0,Mannheim
Polizeipräsidium Offenburg,Prinz-Eugen-Straße 78,Offenburg,77654,48.47991,7.95363,Polizeipräsidium,0781 21-0,Offenburg
Direktion Polizeireviere Offenburg,Prinz-Eugen-Straße 78,Offenburg,77654,48.479853,7.953646,Direktion,0781 21-0,Offenburg
Polizeirevier Achern/Oberkirch,Hauptstraße 105,Achern,77855,48.628941,8.079465,Polizeirevier,07841 7066-0,Offenburg
Polizeirevier Baden-Baden,Gutenbergstraße 15,Baden-Baden,76532,48.77683,8.21775,Polizeirevier,07221 680-0,Offenburg
Polizeirevier Bühl,Hauptstraße 91,Bühl,77815,48.6983699,8.1376917,Polizeirevier,07223 99097-0,Offenburg
Polizeirevier Gaggenau,Unimogstraße 7,Gaggenau,76571,48.80173,8.3125,Polizeirevier,07225 9887-0,Offenburg
Polizeirevier Haslach i. K.,Schwarzwaldstraße 16,Haslach im Kinzigtal,77716,48.2794373,8.0882884,Polizeirevier,07832 97592-0,Offenburg
Polizeirevier Kehl,Rathausplatz 4,Kehl,77694,48.538248,7.920639,Polizeirevier,07851 893-0,Offenburg
Polizeirevier Lahr,Friedrichstraße 17,Lahr/Schwarzwald,77933,48.3416497,7.8747662,Polizeirevier,07821 277-0,Offenburg
Polizeirevier Offenburg,Hauptstraße 96,Offenburg,77652,48.46886,7.94252,Polizeirevier,0781 21-2200,Offenburg
Polizeirevier Rastatt,Engelstraße 31,Rastatt,76437,48.86078,8.20282,Polizeirevier,07222 761-0,Offenburg
Kriminalpolizeidirektion Offenburg,Prinz-Eugen-Straße 78,Offenburg,77654,48.47991,7.95363,Direktion,0781 21-0,Offenburg
Kriminaldauerdienst Offenburg,Hauptstraße 96,Offenburg,77652,48.468912,7.9426025,,0781 21-0,Offenburg
Verkehrspolizeiinspektion Baden-Baden,Schwarzwaldstraße 99,Baden-Baden,76532,48.78083,8.20151,Direktion,07221 680-460,Offenburg
Verkehrsdienst Offenburg,Am Flugplatz 2,Offenburg,77656,48.4537016,7.9228981,,0781 21-4200,Offenburg
Polizeipräsidium Reutlingen,Bismarckstraße 60,Reutlingen,72764,48.492355,9.220761,Polizeipräsidium,07121 942-0,Reutlingen
Polizeirevier Esslingen,Agnespromenade 4,Esslingen am Neckar,73728,48.743119,9.304437,Polizeirevier,0711 3990-0,Reutlingen
Polizeirevier Filderstadt,Karl-Benz-Straße 23,Filderstadt,70794,48.675288,9.196178,Polizeirevier,0711 7091-3,Reutlingen
Polizeirevier Flughafen Stuttgart,Flughafenstraße 36,Stuttgart,70629,48.6911183,9.1893812,Polizeirevier,0711 78780-0,Reutlingen
Polizeirevier Kirchheim unter Teck,Dettinger Straße 101,Kirchheim unter Teck,73230,48.63936,9.45455,Polizeirevier,07021 501-0,Reutlingen
Polizeirevier Metzingen,Ulmer Straße 96,Metzingen,72555,48.53479,9.29091,Polizeirevier,07123/924 - 0,Reutlingen
Polizeirevier Münsingen,Karlstraße 2,Münsingen,72525,48.4113143,9.4916674,Polizeirevier,07381/9364 - 0,Reutlingen
Polizeirevier Nürtingen,Europastraße 34,Nürtingen,72622,48.62911,9.33628,Polizeirevier,07022 9224-0,Reutlingen
Polizeirevier Pfullingen,Burgstraße 26,Pfullingen,72793,48.4710361,9.2297361,Polizeirevier,07121/9918 - 0,Reutlingen
Polizeirevier Reutlingen,Burgstraße 27 - 29,Reutlingen,72764,48.49069,9.22134,Polizeirevier,07121 942-3333,Reutlingen
Polizeirevier Rottenburg,Königstraße 9,Rottenburg am Neckar,72108,48.4779814,8.9347265,Polizeirevier,07472 9801-0,Reutlingen
Polizeirevier Tübingen,Konrad-Adenauer-Straße 30,Tübingen,72072,48.5096732,9.0489565,Polizeirevier,07071 972-1400,Reutlingen
Kriminalpolizeidirektion Esslingen,Agnespromenade 4,Esslingen am Neckar,73728,48.743119,9.304437,Direktion,0711 3990-0,Esslingen
Kriminaldauerdienst Reutlingen,Kaiserstraße 101-103,Reutlingen,72764,48.4907,9.220699,,07121 942-0,Reutlingen
Kriminalkommissariat Reutlingen,Kaiserstraße 103,Reutlingen,72764,48.4905902,9.2209066,,07121 942-0,Reutlingen
Kriminalkommissariat Tübingen,Konrad-Adenauer-Straße 30,Tübingen,72072,48.510008,9.048763,,07071 972-4004,Reutlingen
Verkehrsdienst Tübingen,Konrad-Adenauer-Straße 30,Tübingen,72072,48.5096732,9.0489565,Direktion,07071 972-8503,Reutlingen
Verkehrsdienst Esslingen,Agnespromenade 4,Esslingen am Neckar,73728,48.743119,9.304437,,0711 3990-0,Esslingen
Polizeipräsidium Stuttgart,Hahnemannstraße 1,Stuttgart,70191,48.81046,9.18686,Polizeipräsidium,0711 8990-0,Stuttgart
Polizeirevier 1 Theodor-Heuss-Straße,Theodor-Heuss-Straße 11,Stuttgart,70174,48.7769268,9.1744498,Polizeirevier,0711 8990-3100,Stuttgart
Polizeirevier 2 Wolframstraße,Wolframstraße 36,Stuttgart,70191,48.7922325,9.1830113,Polizeirevier,0711 8990-3200,Stuttgart
Polizeirevier 3 Gutenbergstraße,Gutenbergstraße 109/111,Stuttgart,70197,48.7700658,9.1539327,Polizeirevier,0711 8990-3300,Stuttgart
Polizeirevier 4 Balinger Straße,Balinger Straße 31,Stuttgart,70567,48.72991,9.14272,Polizeirevier,0711 8990-3400,Stuttgart
Polizeirevier 5 Ostendstraße,Ostendstraße 88,Stuttgart,70188,48.7837341,9.2079634,Polizeirevier,0711 8990-3500,Stuttgart
Polizeirevier 6 Martin-Luther Straße,Martin-Luther-Straße  40/42,Stuttgart,70372,48.80509,9.22409,Polizeirevier,0711 8990-3600,Stuttgart
Polizeirevier 7 Ludwigsburger Straße,Ludwigsburger Straße 126,Stuttgart,70435,48.8317597,9.1746453,Polizeirevier,0711 8990-3700,Stuttgart
Polizeirevier 8 Kärntner Straße,Kärntner Straße 18,Stuttgart,70469,48.8131253,9.16063,Polizeirevier,0711 8990-3800,Stuttgart
Kriminaldauerdienst Stuttgart,Christophstraße 7,Stuttgart,70178,48.77215,9.17549,,0711 8990-5777,Stuttgart
Polizeirevier Albstadt,Rudolf-Diesel-Straße 3,Albstadt,72461,48.23104,9.02733,Polizeirevier,07432 955-0,Reutlingen
Polizeirevier Balingen,Johann-Sebastian-Bach-Straße 2,Balingen,72336,48.275667,8.857329,Polizeirevier,07433 264-0,Reutlingen
Polizeirevier Donaueschingen,Lehenstraße 2,Donaueschingen,78166,47.95346,8.49631,Polizeirevier,0771 83783-0,Konstanz
Polizeirevier Freudenstadt,Marktplatz 47,Freudenstadt,72250,48.464357,8.409372,Polizeirevier,07441 536-310,Pforzheim
Polizeirevier Hechingen,Heiligkreuzstraße 6,Hechingen,72379,48.34886,8.96347,Polizeirevier,07471 9880-0,Reutlingen
Polizeirevier Horb am Neckar,Neckarstraße 33,Horb am Neckar,72160,48.44422,8.690874,Polizeirevier,07451 96-0,Pforzheim
Polizeirevier Oberndorf am Neckar,Klosterstraße 3,Oberndorf am Neckar,78727,48.292067,8.574928,Polizeirevier,07423 8101-0,Konstanz
Polizeirevier Rottweil,Kaiserstraße 10,Rottweil,78628,48.16405,8.62602,Polizeirevier,0741 477-0,Konstanz
Polizeirevier Sankt Georgen im Schwarzwald,Talstraße 25,Sankt Georgen im Schwarzwald,78112,48.128366,8.337171,Polizeirevier,07724 9495-00,Freiburg
Polizeirevier Schramberg,Bahnhofstraße 5,Schramberg,78713,48.229114,8.384202,Polizeirevier,07422 2701-0,Konstanz
Polizeirevier Schwenningen,Oberdorfstraße 54,Villingen-Schwenningen,78054,48.06277,8.52662,Polizeirevier,07720 8500-0,Konstanz
Polizeirevier Spaichingen,Hauptstraße 79,Spaichingen,78549,48.07203,8.74116,Polizeirevier,07424 9318-0,Konstanz
Polizeirevier Tuttlingen,Stockacher Straße 158,Tuttlingen,78532,47.97348,8.82836,Polizeirevier,07461 941-0,Konstanz
Polizeirevier Villingen,Waldstraße 10/1,Villingen-Schwenningen,78048,48.06477,8.45252,Polizeirevier,07721 601-0,Konstanz
Kriminalpolizeidirektion Rottweil,Kaiserstraße 10,Rottweil,78628,48.16405,8.62602,Direktion,0741 477-0,Konstanz
Kriminalinspektion 7 Kriminaldauerdienst,Julius-Bührer-Straße 6,Singen,78224,47.7569852,8.8387607,,07731 888-0,Konstanz
Kriminalkommissariat Balingen,Hirschbergstraße 1,Balingen,72336,48.275204,8.854949,,07433 264-0,Reutlingen
Kriminalkommissariat Freudenstadt,Marktplatz 47,Freudenstadt,72250,48.464241,8.409477,,07441 536-401,Pforzheim
Kriminalkommissariat Tuttlingen,Stockacher Straße 158,Tuttlingen,78532,47.97348,8.82836,,07461 941-0,Konstanz
Kriminalkommissariat Villingen-Schwenningen,Waldstraße 10/1,Villingen-Schwenningen,78048,48.06477,8.45252,,07721 601-0,Konstanz
Verkehrsdienst Zimmern ob Rottweil,Steinhäuslebühl 18,Zimmern ob Rottweil,78658,48.17286,8.57656,Direktion,0741 34879-0,Konstanz
Polizeipräsidium Ulm,Münsterplatz 47,Ulm,89073,48.397614,9.9916439,Polizeipräsidium,0731 188-0,Ulm
Schutzpolizeidirektion Polizeireviere Ulm,Münsterplatz 47,Ulm,89073,48.397504,9.989768,Direktion,0731 188-0,Ulm
Polizeirevier Biberach,Erlenweg 2,Biberach an der Riß,88400,48.08738,9.79488,Polizeirevier,07351 447-0,Ulm
Polizeirevier Ehingen,Panoramastraße 6,Ehingen (Donau),89584,48.2780345,9.7251251,Polizeirevier,07391 588-0,Ulm
Polizeirevier Eislingen,Ulmer Straße 34,Eislingen/Fils,73054,48.6932276,9.710758,Polizeirevier,07161 851-0,Ulm
Polizeirevier Geislingen an der Steige,Eberhardstraße 12,Geislingen an der Steige,73312,48.61701,9.83882,Polizeirevier,07331 9327-0,Ulm
Polizeirevier Giengen an der Brenz,Schwagestraße 16,Giengen an der Brenz,89537,48.6231803,10.2387663,Polizeirevier,07322 9653-0,Ulm
Polizeirevier Göppingen,Pfarrstraße 29,Göppingen,73033,48.7050512,9.6508052,Polizeirevier,07161 63-2360,Ulm
Polizeirevier Laupheim,Biberacher Straße 22,Laupheim,88471,48.2252411,9.8772729,Polizeirevier,07392 9630-0,Ulm
Polizeirevier Riedlingen,Zwiefalter Straße 16,Riedlingen,88499,48.1557,9.47819,Polizeirevier,07371 938-0,Ulm
Polizeirevier Uhingen,Im Brühl 5,Uhingen,73066,48.70664,9.57459,Polizeirevier,07161 9381-0,Ulm
Polizeirevier Ulm-Mitte,Münsterplatz 47,Ulm,89073,48.397614,9.9916439,Polizeirevier,0731 188-0,Ulm
Polizeirevier Ulm-West,Römerstraße 122,Ulm,89077,48.3860517,9.9669864,Polizeirevier,07 31 188-0,Ulm
Kriminalpolizeidirektion Ulm,Münsterplatz 47,Ulm,89073,48.397614,9.9916439,Direktion,0731 188-0,Ulm
Kriminaldauerdienst Ulm,Münsterplatz 47,Ulm,89073,48.397504,9.989768,,0731 188-0,Ulm
Kriminalkommissariat Biberach,Erlenweg 2,Biberach an der Riß,88400,48.08738,9.79488,,07351 447-0,Ulm
Kriminalkommissariat Göppingen,Schillerstraße 15,Göppingen,73033,48.70556,9.65083,,07161 63-0,Ulm
Kriminalkommissariat Heidenheim,Kurt-Bittel-Straße 12,Heidenheim an der Brenz,89518,48.6808667,10.1535367,,07321 322-0,Ulm
Verkehrspolizeiinspektion Heidenheim,Am Eisweiher 6,Heidenheim an der Brenz,89522,48.66881,10.22851,Direktion,07321 9752-0,Ulm
Verkehrsdienst Laupheim,Biberacher Straße 22,Laupheim,88471,48.225241,9.877273,,07392 9630-0,Ulm
Verkehrsdienst Mühlhausen im Täle,Warmenweg 2,Mühlhausen im Täle,73347,48.58201,9.6567,,07335 9626-0,Ulm
"Präsidium Technik, Logistik, Service der Polizei",Nauheimer Straße 101,Stuttgart,70372,48.801573,9.224423,,0711 2302 -0,PTLS
Schutzpolizeidirektion - Gewerbe / Umwelt ,Rehlingstr. 6 d,Freiburg im Breisgau,79100,47.989373,7.840472,,0761 21689-0,Freiburg
Schutzpolizeidirektion - Gewerbe / Umwelt,L 6 1,Mannheim,68161,49.486166,8.470262,,0621 174-0,Mannheim
Kriminalinspektion 2 Haus des Jugendrechts,Heinrich-Lanz-Straße 38 ,Mannheim,68165,49.480392,8.475271,,0621 174-5865,Mannheim
Verkehrspolizeiinspektion Stuttgart,Löwentorbogen 9a,Stuttgart,70376,48.8083837,9.192798,,0711 8990-4100,Stuttgart
Polizeipräsidium Pforzheim,Bahnhofstr. 13,Pforzheim,75172,48.893076,8.7007708,Polizeipräsidium,+49 (0) 7231 / 186-0,Pforzheim
Polizeipräsidium Ravensburg,Gartenstraße 97,Ravensburg,88212,47.7928276,9.622915,Polizeipräsidium,+49 (0) 751 / 803-0,Ravensburg
Kriminaldauerdienst Pforzheim,Ostendstraße 3,Pforzheim,75175,48.893638,8.715857,,07231 186-4444,Pforzheim
Verkehrspolizeiinspektion Konstanz,Steinhäuslebühl 18,Zimmern o. R.,78658,48.1728444,8.5765284,,0741 34879-0,Konstanz
Schutzpolizeidirektion - Polizeireviere Mannheim,L 6 1,Mannheim,68161,49.48323,8.46712,,0621 174-0,Mannheim
Schutzpolizeidirektion - Polizeireviere Pforzheim,Bahnhofstraße 13,Pforzheim,75172,48.893076,8.700771,,07231 186-0,Pforzheim
Schutzpolizeidirektion - Polizeireviere Reutlingen,Bismarckstraße 60,Reutlingen,72764,48.491929,9.22098,,07121 942-0,Reutlingen
Schutzpolizeidirektion - Polizeireviere Ravensburg,Gartenstraße 97,Ravensburg,88212,47.7928276,9.622915,,0751 803-0,Ravensburg
Schutzpolizeidirektion - Polizeireviere Stuttgart,Hahnemannstraße 1,Stuttgart,70191,48.8101373,9.1860013,,0711 8990-3005,Stuttgart
Kriminalpolizeidirektion Stuttgart,Hahnemannstraße 1,Stuttgart,70191,48.8101373,9.1860013,,0711 8990-5005,Stuttgart
Verkehrspolizeiinspektion Tübingen,Konrad-Adenauer-Straße 30,Tübingen,72072,48.509673,9.048956,,07071 972-8503,Reutlingen
Verkehrsdienst Baden-Baden,Schwarzwaldstraße 99,Baden-Baden,76532,48.78077,8.2015787,,07221 680-460,Offenburg
Verkehrsdienstaußenstelle Bühl,Fridolin-Stiegler-Str. 3,Bühl,77851,48.70338,8.12608,,07223 80847-0,Offenburg
Gewerbe und Umwelt Heilbronn,John-F.-Kennedy-Straße 14,Heilbronn,74074,49.1234873,9.2215221,,07131 7479 0,Heilbronn
Polizeihundeführerstaffel Offenau,Wehräcker 3,Offenau,74254,49.2352052,9.1757651,,07136 96391-0,Heilbronn
Verkehrsdienst Außenstelle Künzelsau,Schillerstraße 7-11,Künzelsau,74653,49.278905,9.683062,,07940 940-600,Aalen
Verkehrsdienst Außenstelle Mosbach,Odenwaldstraße 22,Mosbach,74821,49.3558434,9.1472823,,06261 809-100,Heilbronn
Polizeirevier Heidenheim,Schnaitheimer Str. 14,Heidenheim an der Brenz,89520,48.680362,10.15231,,07321 322-0,Ulm
Polizeihundeführerstaffel Karlsruhe,Am Heegwald 25,Karlsruhe,76227,49.0142214,8.4753556,,0721 663398-0,Karlsruhe
